"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"308","RT @jabawack: Our short review Collective Behaviors &amp; Networks is the most download paper of the year on @EPJscience #DataScience! http://t…",FALSE,0,NA,2015-03-29 02:40:54,FALSE,NA,"582009508580343809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","scooksey2015",17,TRUE,FALSE,NA,NA
"309","RT @Niisnen: New breed of scientific researchers must be Pi-shaped: https://t.co/vvotd3LBqO #datascience http://t.co/mC4Uc1SPNN RT @KirkDBo…",FALSE,0,NA,2015-03-29 02:40:29,FALSE,NA,"582009404024864768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jamie1Champion",132,TRUE,FALSE,NA,NA
"310","RT @mjcavaretta: MT @AnalyticsClub: Apple acquires big data analytics firm Acunu - Apple Insider http://t.co/4UG2im7JKu #bigdata #datascien…",FALSE,0,NA,2015-03-29 02:37:49,FALSE,NA,"582008732428582913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prazhunt",10,TRUE,FALSE,NA,NA
"311","RT arnab_majumdar The National Data Science Bowl Makes Plankton Research Sexy - http://t.co/4Vs6lXjRBU #datascience",FALSE,1,NA,2015-03-29 02:37:35,FALSE,NA,"582008673217675264",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","arcvision_kol",1,FALSE,FALSE,NA,NA
"312","RT @KirkDBorne: #DigitalMarketing is really about Behavioral #Analytics: http://t.co/zKzcZDHWSi #BigData #DataScience by @SYNTASACO's team",FALSE,0,NA,2015-03-29 02:36:31,FALSE,NA,"582008405549719552",NA,"<a href=""http://www.simbasystems.com"" rel=""nofollow"">NoSQLDigest</a>","NoSQLDigest",11,TRUE,FALSE,NA,NA
"313","RT @RPCraig: This is pretty cool | https://t.co/e2wzu1uXfE Open Source Data Science Masters via @clarecorthell #machinelearning #datascienc…",FALSE,0,NA,2015-03-29 02:35:51,FALSE,NA,"582008235449798656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heshaaam",10,TRUE,FALSE,NA,NA
"314","RT @TopeDigiworks: RT Data88Geek: RT KirkDBorne: #DigitalMarketing is really about Behavioral #Analytics: http://t.co/kxGCUDmrye #BigData #…",FALSE,0,NA,2015-03-29 02:35:49,FALSE,NA,"582008229942730752",NA,"<a href=""https://github.com/Jeff88Ho"" rel=""nofollow"">Financial Information Miner</a>","Jeff88Ho",2,TRUE,FALSE,NA,NA
"315","RT @TopeDigiworks: RT JayMarwaha1: RT KirkDBorne: #DigitalMarketing is really about Behavioral #Analytics: http://t.co/kxGCUDmrye #BigData …",FALSE,0,NA,2015-03-29 02:35:49,FALSE,NA,"582008229154201600",NA,"<a href=""https://github.com/Jeff88Ho"" rel=""nofollow"">Financial Information Miner</a>","Jeff88Ho",2,TRUE,FALSE,NA,NA
"316","RT @TopeDigiworks: RT SYNTASACO: RT KirkDBorne: #DigitalMarketing is really about Behavioral #Analytics: http://t.co/kxGCUDmrye #BigData #D…",FALSE,0,NA,2015-03-29 02:35:49,FALSE,NA,"582008228302700544",NA,"<a href=""https://github.com/Jeff88Ho"" rel=""nofollow"">Financial Information Miner</a>","Jeff88Ho",2,TRUE,FALSE,NA,NA
"317","RT @BigDataBlender: 5 Disruptive #BigData Use Cases in #Healthcare - http://t.co/CU583q2meq via @Flutura #Analytics #DataScience #Hadoop ht…",FALSE,0,NA,2015-03-29 02:35:45,FALSE,NA,"582008210904649728",NA,"<a href=""http://www.simbasystems.com"" rel=""nofollow"">NoSQLDigest</a>","NoSQLDigest",8,TRUE,FALSE,NA,NA
"318","RT @TopeDigiworks: RT SYNTASACO: RT KirkDBorne: #DigitalMarketing is really about Behavioral #Analytics: http://t.co/kxGCUDmrye #BigData #D…",FALSE,0,NA,2015-03-29 02:35:27,FALSE,NA,"582008134702637056",NA,"<a href=""https://hijeffho.squarespace.com/"" rel=""nofollow"">Data Smart</a>","Data88Smart",2,TRUE,FALSE,NA,NA
"319","RT @TopeDigiworks: RT JayMarwaha1: RT KirkDBorne: #DigitalMarketing is really about Behavioral #Analytics: http://t.co/kxGCUDmrye #BigData …",FALSE,0,NA,2015-03-29 02:35:26,FALSE,NA,"582008133930885120",NA,"<a href=""https://hijeffho.squarespace.com/"" rel=""nofollow"">Data Smart</a>","Data88Smart",2,TRUE,FALSE,NA,NA
"320","RT @TopeDigiworks: RT Data88Geek: RT KirkDBorne: #DigitalMarketing is really about Behavioral #Analytics: http://t.co/kxGCUDmrye #BigData #…",FALSE,0,NA,2015-03-29 02:35:26,FALSE,NA,"582008133087850496",NA,"<a href=""https://hijeffho.squarespace.com/"" rel=""nofollow"">Data Smart</a>","Data88Smart",2,TRUE,FALSE,NA,NA
"321","RT @SidneyMinassian: The 7 Problems Data Scientists Don't Want to Solve #BigData #DataScience http://t.co/RM4wO0kQKP http://t.co/D1mOGG81cJ",FALSE,0,NA,2015-03-29 02:34:11,FALSE,NA,"582007816963018752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HernanN_N",36,TRUE,FALSE,NA,NA
"322","RT @SidneyMinassian: The 7 Problems Data Scientists Don't Want to Solve #BigData #DataScience http://t.co/RM4wO0kQKP http://t.co/D1mOGG81cJ",FALSE,0,NA,2015-03-29 02:33:06,FALSE,NA,"582007545423900672",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","eprado_melo",36,TRUE,FALSE,NA,NA
"323","RT Data88Geek: RT KirkDBorne: #DigitalMarketing is really about Behavioral #Analytics: http://t.co/kxGCUDmrye #BigData #DataScience by SY…",FALSE,4,NA,2015-03-29 02:33:02,FALSE,NA,"582007526121705472",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","TopeDigiworks",2,FALSE,FALSE,NA,NA
"324","RT JayMarwaha1: RT KirkDBorne: #DigitalMarketing is really about Behavioral #Analytics: http://t.co/kxGCUDmrye #BigData #DataScience by S…",FALSE,5,NA,2015-03-29 02:32:59,FALSE,NA,"582007515904376832",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","TopeDigiworks",2,FALSE,FALSE,NA,NA
"325","RT SYNTASACO: RT KirkDBorne: #DigitalMarketing is really about Behavioral #Analytics: http://t.co/kxGCUDmrye #BigData #DataScience by SYN…",FALSE,5,NA,2015-03-29 02:32:59,FALSE,NA,"582007514851606528",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","TopeDigiworks",2,FALSE,FALSE,NA,NA
"326","RT aleson_es: RT KirkDBorne: #DigitalMarketing is really about Behavioral #Analytics: http://t.co/kxGCUDmrye #BigData #DataScience by SYN…",FALSE,1,NA,2015-03-29 02:32:57,FALSE,NA,"582007507062812672",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","TopeDigiworks",0,FALSE,FALSE,NA,NA
